number|top-5|top-10
2478|['ewencp' 'guozhangwang' 'ijuma' 'miguno' 'hachikuji']|"['ewencp' 'guozhangwang' 'ijuma' 'miguno' 'hachikuji' 'Ishiihara'
 'ymatsuda' 'granders' 'junrao' 'granthenke']"
2479|['ewencp' 'guozhangwang' 'Ishiihara' 'ymatsuda' 'ijuma']|"['ewencp' 'guozhangwang' 'Ishiihara' 'ymatsuda' 'ijuma' 'miguno'
 'hachikuji' 'gwenshap' 'granders' 'apovzner']"
2480|['gwenshap' 'ijuma' 'guozhangwang' 'junrao' 'granthenke']|"['gwenshap' 'ijuma' 'guozhangwang' 'junrao' 'granthenke' 'ewencp' 'miguno'
 'ymatsuda' 'apovzner' 'hachikuji']"
2482|['ijuma' 'gwenshap' 'junrao' 'guozhangwang' 'ewencp']|"['ijuma' 'gwenshap' 'junrao' 'guozhangwang' 'ewencp' 'granthenke' 'miguno'
 'ymatsuda' 'apovzner' 'hachikuji']"
2483|['junrao' 'ijuma' 'hachikuji' 'apovzner' 'dajac']|"['junrao' 'ijuma' 'hachikuji' 'apovzner' 'dajac' 'granthenke' 'gwenshap'
 'guozhangwang' 'ewencp' 'xiaotao183']"
2485|['ijuma' 'guozhangwang' 'junrao' 'miguno' 'ewencp']|"['ijuma' 'guozhangwang' 'junrao' 'miguno' 'ewencp' 'ymatsuda' 'gwenshap'
 'apovzner' 'granthenke' 'hachikuji']"
2486|['ijuma' 'ewencp' 'guozhangwang' 'gwenshap' 'miguno']|"['ijuma' 'ewencp' 'guozhangwang' 'gwenshap' 'miguno' 'junrao' 'ymatsuda'
 'apovzner' 'hachikuji' 'granthenke']"
2488|['gwenshap' 'ijuma' 'junrao' 'guozhangwang' 'granthenke']|"['gwenshap' 'ijuma' 'junrao' 'guozhangwang' 'granthenke' 'ewencp'
 'hachikuji' 'apovzner' 'miguno' 'ymatsuda']"
2489|['gwenshap' 'ijuma' 'granthenke' 'junrao' 'hachikuji']|"['gwenshap' 'ijuma' 'granthenke' 'junrao' 'hachikuji' 'guozhangwang'
 'ewencp' 'apovzner' 'SinghAsDev' 'dajac']"
2490|['ijuma' 'junrao' 'guozhangwang' 'ewencp' 'hachikuji']|"['ijuma' 'junrao' 'guozhangwang' 'ewencp' 'hachikuji' 'granthenke'
 'apovzner' 'gwenshap' 'dajac' 'SinghAsDev']"
2491|['gwenshap' 'hachikuji' 'ijuma' 'guozhangwang' 'granthenke']|"['gwenshap' 'hachikuji' 'ijuma' 'guozhangwang' 'granthenke' 'ewencp'
 'junrao' 'apovzner' 'dajac' 'SinghAsDev']"
2492|['ijuma' 'junrao' 'gwenshap' 'guozhangwang' 'ewencp']|"['ijuma' 'junrao' 'gwenshap' 'guozhangwang' 'ewencp' 'granthenke'
 'hachikuji' 'apovzner' 'dajac' 'miguno']"
2493|['guozhangwang' 'ymatsuda' 'miguno' 'ewencp' 'ijuma']|"['guozhangwang' 'ymatsuda' 'miguno' 'ewencp' 'ijuma' 'gwenshap' 'apovzner'
 'norwood' 'nan' 'nan']"
2494|['ewencp' 'guozhangwang' 'hachikuji' 'ijuma' 'granders']|"['ewencp' 'guozhangwang' 'hachikuji' 'ijuma' 'granders' 'apovzner'
 'norwood' 'bbejeck' 'junrao' 'miguno']"
2496|['junrao' 'hachikuji' 'apovzner' 'ijuma' 'dajac']|"['junrao' 'hachikuji' 'apovzner' 'ijuma' 'dajac' 'granthenke' 'gwenshap'
 'xiaotao183' 'ewencp' 'guozhangwang']"
2498|['gwenshap' 'ijuma' 'granthenke' 'guozhangwang' 'ewencp']|"['gwenshap' 'ijuma' 'granthenke' 'guozhangwang' 'ewencp' 'miguno'
 'ymatsuda' 'SinghAsDev' 'apovzner' 'junrao']"
2499|['ijuma' 'gwenshap' 'guozhangwang' 'ewencp' 'apovzner']|"['ijuma' 'gwenshap' 'guozhangwang' 'ewencp' 'apovzner' 'hachikuji'
 'junrao' 'miguno' 'ymatsuda' 'granthenke']"
2500|['ewencp' 'guozhangwang' 'ymatsuda' 'miguno' 'ijuma']|"['ewencp' 'guozhangwang' 'ymatsuda' 'miguno' 'ijuma' 'gwenshap' 'nan'
 'nan' 'nan' 'junrao']"
2501|['ijuma' 'junrao' 'hachikuji' 'guozhangwang' 'apovzner']|"['ijuma' 'junrao' 'hachikuji' 'guozhangwang' 'apovzner' 'dajac'
 'granthenke' 'ewencp' 'gwenshap' 'SinghAsDev']"
